Speed,P00,P01,P10,P11
0,0.3027295285359802,0.6972704714640199,0.17669172932330826,0.8233082706766918
5,0.315035799522673,0.684964200477327,0.18227848101265823,0.8177215189873418
10,0.356,0.644,0.21480987324883255,0.7851901267511674
15,0.35294117647058826,0.6470588235294118,0.17471410419313851,0.8252858958068615
20,0.3317307692307692,0.6682692307692307,0.17561591914087177,0.8243840808591283
25,0.34279475982532753,0.6572052401746725,0.1946787800129786,0.8053212199870214
